A B crs
20 04 4.978779640118803
20 05 2.768421302211105
20 06 4.097018338511602
20 07 5.120990329442876
20 08 3.484773002898897
20 09 0.18801457668892846
20 10 3.8595483943266164
20 11 6.487260835405378
20 12 2.847623256878746
20 13 3.4903228586889767
20 14 4.8553112981653
20 15 5.119839745802506
20 16 2.2380919305175007
20 17 3.5466401643318006
20 18 4.821014362775363
20 19 1.6610434672897247
21 01 5.6844191095193795
21 02 3.4029342741144535
21 03 5.058107707672216
21 04 3.151710905498428
21 05 2.295071203698489
21 06 0
21 07 7.360930763711601
21 08 8.342034083532594
21 09 4.24696004566509
21 10 0.9937070454110689
21 11 0
21 12 5.65757269861871
21 13 1.357098765180751
21 14 0.5827635650367757
21 15 4.7346336139183585
21 16 3.5435605218696162
21 17 9.072116003845219
21 18 1.8998426872672132
21 19 3.7522034401414457
21 20 6.174431971013474
22 01 1.3180064684990742
22 02 2.3336221951522416
22 03 2.4610519064580347
22 04 3.986551868540296
22 05 3.5289590284512053
22 06 4.579680631028451
22 07 2.547789456288524
22 08 0.7811628631808007
22 09 1.5849426604854648
22 10 4.785621872851237
22 11 6.560574320026653
22 12 0.578424946064753
22 13 3.22214011214022
22 14 4.964860555564148
22 15 6.824610232686035
22 16 1.7483828520445488
22 17 0.9612611901326311
22 18 4.040730358150805
22 19 1.2858652352743742
22 20 0.9803429290454537
22 21 6.652712974279666
23 01 3.9430970173471955
23 02 0
23 03 1.3512395815742084
23 04 0.3213613301391636
23 05 1.8338965078059815
23 06 0.7532716166732061
23 07 3.662608282988465
23 08 4.954906086692589
23 09 2.997252597527845
23 10 1.2086071112289845
23 11 1.0913582282965169
23 12 2.2384427514723497
23 13 0
23 14 0
23 15 5.806421958875891
23 16 0.7541131979513481
23 17 5.824354243598995
23 18 0
23 19 1.6304637761850402
23 20 4.392837205188134
23 21 1.8339761785392898
23 22 3.812308432718211
24 01 1.4564776815947802
24 02 3.709965706413143
24 03 5.323839730931386
24 04 5.154365323411853
24 05 0.9360326127376625
24 06 2.658554010463969
24 07 6.95268626277684
24 08 6.257705327070615
24 09 0.5528086885955799
24 10 1.6593515229121094
24 11 4.9767989295052395
24 12 4.724678397899823
24 13 2.5344784543517465
24 14 3.3179182604233435
24 15 0.9002905004789524
24 16 2.833666102162682
24 17 6.482729289875388
24 18 4.803109906057659
24 19 1.8111612029941904
24 20 2.1325181979453998
24 21 3.9973482672813225
24 22 3.826583784162763
24 23 3.8077104279642584
25 01 2.7919808979265777
25 02 2.5057733636159267
25 03 2.429058863696494
25 04 4.14734552925043
25 05 4.535300375061706
25 06 5.363954980005226
25 07 2.169659129098807
25 08 0
25 09 3.00466770443968
25 10 5.638841919971647
25 11 6.971125009434717
25 12 0.5685264634078414
25 13 3.6743569459893974
25 14 5.472012332361674
25 15 8.257694108234151
25 16 2.002371395663244
25 17 0
25 18 4.235696102031497
25 19 1.9514795596803194
25 20 2.4287439807605695
25 21 7.323041033268853
25 22 0
25 23 4.060097026290261
25 24 5.238900469325852
26 01 0
26 02 2.5420654324160785
26 03 3.298359408601889
26 04 4.008852372427374
26 05 1.793491022179836
26 06 3.1112755409047845
26 07 4.243831280389552
26 08 3.0873037306872217
26 09 0
26 10 2.9315481259176948
26 11 5.48980948692773
26 12 1.9678231224252063
26 13 2.527299026000647
26 14 3.86707535281976
26 15 4.690453530689558
26 16 1.2718929198427187
26 17 3.4158541944086758
26 18 3.877049368286189
26 19 0.6822373936023676
26 20 0.37720251292635437
26 21 5.1986720808573885
26 22 0.7628053463127653
26 23 3.4616904091831713
26 24 1.672760895015331
26 25 2.061556739026244
27 01 3.527311727081052
27 02 5.371095447666521
27 03 7.138089507730451
27 04 6.623252944636455
27 05 2.3778564809272225
27 06 2.893091229896814
27 07 8.8712064057697
27 08 8.270694067624824
27 09 2.5176659272746527
27 10 2.0690328225078676
27 11 5.493187010234431
27 12 6.640461505207478
27 13 3.6254539616314965
27 14 4.13234435917903
27 15 0
27 16 4.596899338763766
27 17 8.546987743631487
27 18 5.804573179721227
27 19 3.692411273507677
27 20 4.2128196454128135
27 21 4.12629317411692
27 22 5.887484171059757
27 23 4.902820645020979
27 24 0
27 25 7.239647299043219
27 26 3.694516880113402
28 01 1.5629030205759864
28 02 0.8283528508155603
28 03 2.47571324492112
28 04 2.3269770978987827
28 05 0
28 06 0.7625573402978463
28 07 4.356871254402024
28 08 4.650695766602146
28 09 0.3266566905260203
28 10 0.7181975926498132
28 11 3.168199394424488
28 12 2.211893928283156
28 13 0.37236201492280363
28 14 1.546971590962579
28 15 4.248169283147379
28 16 0
28 17 5.270985974457925
28 18 2.0536881645618617
28 19 0
28 20 2.038695936573063
28 21 2.771899032957369
28 22 2.7024800182668645
28 23 1.4502379631804525
28 24 1.700935893400937
28 25 3.589529075537764
28 26 1.0504641531065069
28 27 3.3085934978523763
29 01 5.48778326177775
29 02 1.765534348250819
29 03 3.0266179415145356
29 04 0.6257799342205281
29 05 2.8610412326228296
29 06 1.1533482514502444
29 07 5.367751791261628
29 08 6.949143654501199
29 09 4.22290007855115
29 10 2.019855083609889
29 11 0
29 12 4.272579288375425
29 13 1.068719091553668
29 14 0
29 15 6.4451449254973365
29 16 2.5589972234278955
29 17 7.841863817098439
29 18 0
29 19 3.166961238812818
29 20 5.963603524703518
29 21 0.7759562153449953
29 22 5.874379178487937
29 23 0.3601554358546655
29 24 4.820614923692584
29 25 6.104559389298106
29 26 4.963366287467973
29 27 5.625299139142843
29 28 2.6697390236338743
30 01 3.929032112769836
30 02 0
30 03 0
30 04 0
30 05 3.0522791697280893
30 06 2.566380326566956
30 07 2.196626958105133
