crs km
0.04538465311825232 5
0.10592428354430777 10
0.1345493742102928 15
0.18355781795036294 20
0.22579362367350458 25
0.27672117785539213 30
0.31721212308398405 35
0.36335536879936114 40
0.4068567415931146 45
0.4558891776598012 50
